id_respuesta_,tipo_respuesta,comentarios,fecha_respuesta
1088,A,Autorizamos el inicio del proyecto según lo planificado,2025-01-12
1089,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2024-12-07
1090,R,No estamos de acuerdo con los términos comerciales presentados,2024-09-07
1091,R,Rechazamos el modelo de negocio propuesto,2024-01-24
1092,R,Desestimamos la oferta por incumplir normativas internas,2024-01-08
1093,A,Autorizamos el inicio del proyecto según lo planificado,2024-06-23
1094,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2024-10-17
1095,A,Aceptamos los términos del servicio de mantenimiento,2025-01-09
1096,R,No estamos de acuerdo con los términos comerciales presentados,2024-04-02
1097,R,No estamos de acuerdo con los términos comerciales presentados,2024-08-22
1098,A,Damos conformidad al plan de capacitación propuesto,2024-01-27
1099,A,Aprobamos la arquitectura tecnológica sugerida,2024-02-17
1100,R,Desestimamos la oferta por incumplir normativas internas,2024-07-04
1101,R,Rechazamos la propuesta por no cumplir con nuestros requisitos de seguridad,2024-12-12
1102,R,Rechazamos la inclusión del módulo adicional sugerido,2024-07-11
1103,A,Aprobamos la arquitectura tecnológica sugerida,2024-05-11
1104,R,No aceptamos las licencias propuestas por costos ocultos,2024-02-11
1105,A,Aceptamos la propuesta en su totalidad sin cambios,2024-10-30
1106,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2024-10-14
1107,R,Desestimamos la oferta por incumplir normativas internas,2024-02-04
1108,R,Rechazamos la propuesta por no cumplir con nuestros requisitos de seguridad,2024-03-27
1109,R,Rechazamos la propuesta por no cumplir con nuestros requisitos de seguridad,2024-11-12
1110,R,Rechazamos la solución por falta de soporte técnico local,2024-06-05
1111,A,Validamos los criterios de aceptación de pruebas,2025-04-04
1112,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-08-15
1113,A,Aprobamos el alcance del proyecto tal como está definido,2025-04-17
1114,A,Aceptamos la propuesta en su totalidad sin cambios,2024-03-23
1115,A,Aceptamos la escalabilidad propuesta para el sistema,2024-04-03
1116,R,Descartamos la propuesta ante cambios en regulaciones del sector,2024-07-24
1117,R,Rechazamos los tiempos de implementación como inviables,2025-01-29
1118,A,Validamos los requisitos funcionales presentados,2025-03-05
1119,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-01-26
1120,R,No estamos de acuerdo con los términos comerciales presentados,2024-02-04
1121,A,Aceptamos la implementación piloto bajo los términos acordados,2024-06-26
1122,R,No continuamos con el proyecto debido a cambios en nuestra estructura interna,2024-04-22
1123,R,No aprobamos el contrato debido a cláusulas contractuales no negociables,2025-01-28
1124,A,Aceptamos la implementación piloto bajo los términos acordados,2024-12-14
1125,A,Confirmamos nuestra satisfacción con la propuesta técnica,2025-03-05
1126,A,Autorizamos el inicio del proyecto según lo planificado,2024-03-04
1127,A,Aprobamos la integración con nuestros sistemas sin modificaciones adicionales,2024-12-11
1128,R,Rechazamos la propuesta por no cumplir con nuestros requisitos de seguridad,2025-04-20
1129,A,Validamos los requisitos funcionales presentados,2025-02-19
1130,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2024-06-29
1131,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2024-04-24
1132,A,Aceptamos los términos del servicio de mantenimiento,2025-04-20
1133,A,Damos conformidad al plan de capacitación propuesto,2025-02-20
1134,A,Aceptamos la implementación piloto bajo los términos acordados,2024-02-21
1135,R,No aceptamos por incompatibilidad con nuestra infraestructura actual,2024-06-24
1136,A,Estamos de acuerdo con el plan de implementación y damos luz verde para iniciar,2025-01-12
1137,R,No aceptamos por incompatibilidad con nuestra infraestructura actual,2024-06-19
1138,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-03-03
1139,A,Aceptamos la solución propuesta y autorizamos el inicio inmediato,2024-05-16
1140,R,No estamos de acuerdo con los términos comerciales presentados,2025-04-19
1141,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2025-02-06
1142,A,Validamos los criterios de aceptación de pruebas,2024-09-17
1143,R,Declinamos por preferir una solución en la nube alternativa,2024-12-20
1144,R,No aceptamos por incompatibilidad con nuestra infraestructura actual,2025-04-25
1145,A,Confirmamos nuestra satisfacción con la propuesta técnica,2024-09-01
1146,R,Declinamos la oferta por considerar excesivos los costos de implementación,2025-02-11
1147,R,Rechazamos la inclusión del módulo adicional sugerido,2024-02-22
1148,R,Cancelamos el proyecto por reestructuración organizacional,2025-02-07
1149,R,Rechazamos la inclusión del módulo adicional sugerido,2025-04-29
1150,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2025-04-13
1151,A,Autorizamos el inicio del proyecto según lo planificado,2024-05-31
1152,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-10-21
1153,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-12-26
1154,A,Aprobamos la arquitectura tecnológica sugerida,2024-12-22
1155,A,Confirmamos nuestra satisfacción con la propuesta técnica,2024-08-02
1156,R,Declinamos la oferta por considerar excesivos los costos de implementación,2025-01-31
1157,A,Validamos la propuesta y solicitamos la firma del contrato,2024-01-30
1158,A,Aceptamos la escalabilidad propuesta para el sistema,2024-02-24
1159,A,Aceptamos la propuesta en su totalidad sin cambios,2024-11-27
1160,A,Validamos los requisitos funcionales presentados,2025-03-21
1161,A,Aceptamos la propuesta en su totalidad sin cambios,2024-04-28
1162,A,Validamos la propuesta y solicitamos la firma del contrato,2024-11-23
1163,A,Validamos la propuesta y solicitamos la firma del contrato,2024-11-10
1164,A,Aprobamos el alcance del proyecto tal como está definido,2024-01-27
1165,R,Declinamos por preferir una solución en la nube alternativa,2024-06-15
1166,A,Aceptamos la propuesta en su totalidad sin cambios,2025-02-17
1167,A,Aceptamos los plazos y entregables establecidos en la propuesta,2024-10-11
1168,A,Damos el visto bueno al cronograma presentado y confirmamos el pago inicial,2024-04-23
1169,A,Confirmamos nuestra satisfacción con la propuesta técnica,2024-12-04
1170,A,Damos el visto bueno al cronograma presentado y confirmamos el pago inicial,2025-02-18
1171,A,Aceptamos la solución propuesta y autorizamos el inicio inmediato,2024-07-27
1172,A,Aceptamos la solución propuesta y autorizamos el inicio inmediato,2024-08-24
1173,R,Rechazamos la ampliación de servicios por falta de presupuesto,2024-12-01
1174,A,Aceptamos la solución propuesta y autorizamos el inicio inmediato,2024-08-12
1175,A,Validamos los requisitos funcionales presentados,2024-06-18
1176,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2024-10-25
1177,A,Aprobamos la integración con nuestros sistemas sin modificaciones adicionales,2024-07-26
1178,A,Autorizamos el inicio del proyecto según lo planificado,2024-02-08
1179,R,Rechazamos la inclusión del módulo adicional sugerido,2025-01-01
1180,A,Validamos los requisitos funcionales presentados,2024-05-28
1181,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2025-04-22
1182,A,Estamos de acuerdo con el plan de implementación y damos luz verde para iniciar,2025-02-16
1183,A,Aceptamos la solución propuesta y autorizamos el inicio inmediato,2024-02-23
1184,A,Aprobamos la arquitectura tecnológica sugerida,2024-12-26
1185,A,Damos conformidad al plan de capacitación propuesto,2024-06-05
1186,A,Aceptamos la escalabilidad propuesta para el sistema,2024-11-26
1187,R,No aprobamos el contrato debido a cláusulas contractuales no negociables,2024-08-22
1188,A,Damos conformidad al plan de capacitación propuesto,2025-03-10
1189,A,Validamos la propuesta y solicitamos la firma del contrato,2024-09-01
1190,R,Cancelamos el proyecto por reestructuración organizacional,2025-01-27
1191,R,No aprobamos el contrato debido a cláusulas contractuales no negociables,2024-12-03
1192,R,Desestimamos la oferta por incumplir normativas internas,2025-03-15
1193,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2025-04-18
1194,R,Rechazamos la inclusión del módulo adicional sugerido,2024-03-22
1195,R,No estamos de acuerdo con los términos comerciales presentados,2024-08-26
1196,R,No aprobamos el contrato debido a cláusulas contractuales no negociables,2024-12-09
1197,R,Rechazamos los tiempos de implementación como inviables,2025-01-10
1198,A,Validamos la propuesta y solicitamos la firma del contrato,2024-02-05
1199,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-02-21
1200,A,Aprobamos el presupuesto completo sin objeciones,2024-12-21
1201,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2024-01-30
1202,A,Confirmamos nuestra satisfacción con la propuesta técnica,2024-10-23
1203,R,No continuamos con el proyecto debido a cambios en nuestra estructura interna,2024-11-06
1204,R,Descartamos la propuesta ante cambios en regulaciones del sector,2024-08-09
1205,R,Descartamos la propuesta ante cambios en regulaciones del sector,2024-06-27
1206,R,Descartamos la propuesta ante cambios en regulaciones del sector,2024-07-31
1207,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-12-08
1208,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-04-11
1209,A,Aprobamos la integración con nuestros sistemas sin modificaciones adicionales,2024-10-31
1210,R,Declinamos por preferir una solución en la nube alternativa,2024-08-17
1211,A,Aprobamos el presupuesto completo sin objeciones,2024-02-17
1212,A,Damos el visto bueno al cronograma presentado y confirmamos el pago inicial,2024-12-31
1213,A,Aceptamos la escalabilidad propuesta para el sistema,2024-08-16
1214,A,Validamos la propuesta y solicitamos la firma del contrato,2024-09-16
1215,A,Validamos los requisitos funcionales presentados,2024-06-29
1216,R,No aceptamos por incompatibilidad con nuestra infraestructura actual,2024-07-17
1217,A,Confirmamos el acuerdo de niveles de servicio (SLA),2025-01-17
1218,A,Validamos los criterios de aceptación de pruebas,2025-02-14
1219,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-06-06
1220,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-01-05
1221,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-11-05
1222,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2024-04-30
1223,A,Validamos los criterios de aceptación de pruebas,2024-02-07
1224,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2025-03-29
1225,R,Rechazamos los tiempos de implementación como inviables,2025-03-30
1226,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2024-01-04
1227,R,No aceptamos por incompatibilidad con nuestra infraestructura actual,2024-09-26
1228,A,Aprobamos la integración con nuestros sistemas sin modificaciones adicionales,2024-12-07
1229,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2024-12-15
1230,A,Aceptamos la propuesta en su totalidad sin cambios,2025-04-17
1231,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-11-29
1232,A,Aprobamos la arquitectura tecnológica sugerida,2024-09-25
1233,A,Damos conformidad al plan de capacitación propuesto,2024-12-10
1234,R,Declinamos la oferta por considerar excesivos los costos de implementación,2025-03-18
1235,A,Validamos los criterios de aceptación de pruebas,2024-03-26
1236,A,Aceptamos la escalabilidad propuesta para el sistema,2024-12-14
1237,A,Validamos la propuesta y solicitamos la firma del contrato,2024-08-24
1238,R,Cancelamos el proyecto por reestructuración organizacional,2024-07-13
1239,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-07-31
1240,A,Aprobamos el presupuesto completo sin objeciones,2024-11-27
1241,R,No aceptamos las licencias propuestas por costos ocultos,2024-08-06
1242,A,Damos el visto bueno al cronograma presentado y confirmamos el pago inicial,2024-04-23
1243,R,Desestimamos la oferta por incumplir normativas internas,2024-12-03
1244,A,Aprobamos la arquitectura tecnológica sugerida,2024-07-30
1245,R,Cancelamos el proyecto por reestructuración organizacional,2024-10-13
1246,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2024-04-02
1247,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2024-04-22
1248,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-01-31
1249,R,Descartamos la propuesta ante cambios en regulaciones del sector,2025-01-28
1250,R,No estamos de acuerdo con los términos comerciales presentados,2024-09-03
1251,R,Cancelamos el proyecto por reestructuración organizacional,2024-02-29
1252,R,Rechazamos la propuesta por no cumplir con nuestros requisitos de seguridad,2025-02-12
1253,A,Estamos de acuerdo con el plan de implementación y damos luz verde para iniciar,2024-07-28
1254,A,Confirmamos nuestra satisfacción con la propuesta técnica,2024-10-24
1255,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2024-05-25
1256,R,Rechazamos los tiempos de implementación como inviables,2024-06-07
1257,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2024-05-30
1258,R,Descartamos la propuesta ante cambios en regulaciones del sector,2024-05-08
1259,R,Declinamos la oferta por considerar excesivos los costos de implementación,2025-01-30
1260,R,Desestimamos la oferta por incumplir normativas internas,2025-04-09
1261,R,Rechazamos la solución por falta de soporte técnico local,2025-02-13
1262,A,Aprobamos el alcance del proyecto tal como está definido,2024-07-21
1263,A,Aceptamos la propuesta en su totalidad sin cambios,2024-09-21
1264,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2024-02-16
1265,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2025-04-03
1266,R,Rechazamos la solución por falta de soporte técnico local,2024-11-15
1267,R,Declinamos por preferir una solución en la nube alternativa,2024-08-29
1268,A,Autorizamos el inicio del proyecto según lo planificado,2025-02-09
1269,R,Rechazamos los tiempos de implementación como inviables,2024-11-16
1270,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-07-05
1271,A,Validamos los criterios de aceptación de pruebas,2024-05-21
1272,R,No aceptamos por incompatibilidad con nuestra infraestructura actual,2025-03-28
1273,R,Rechazamos la solución por falta de soporte técnico local,2024-10-21
1274,A,Aceptamos la propuesta en su totalidad sin cambios,2024-04-27
1275,A,Aprobamos la integración con nuestros sistemas sin modificaciones adicionales,2025-04-16
1276,A,Validamos los criterios de aceptación de pruebas,2025-03-03
1277,R,No aceptamos las licencias propuestas por costos ocultos,2024-09-19
1278,A,Estamos de acuerdo con el plan de implementación y damos luz verde para iniciar,2024-12-21
1279,A,Aceptamos los términos del servicio de mantenimiento,2024-05-25
1280,R,Rechazamos los tiempos de implementación como inviables,2024-08-30
1281,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2024-07-25
1282,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2024-12-22
1283,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-09-16
1284,R,No aceptamos las licencias propuestas por costos ocultos,2024-03-09
1285,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-07-17
1286,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2024-11-04
1287,R,No aceptamos las licencias propuestas por costos ocultos,2024-08-27
1288,R,No aceptamos las licencias propuestas por costos ocultos,2025-01-25
1289,R,Rechazamos la ampliación de servicios por falta de presupuesto,2025-01-17
1290,R,Descartamos la propuesta ante cambios en regulaciones del sector,2025-03-30
1291,A,Aprobamos el presupuesto completo sin objeciones,2024-09-06
1292,R,No aceptamos las licencias propuestas por costos ocultos,2024-05-29
1293,A,Aceptamos la implementación piloto bajo los términos acordados,2025-02-12
1294,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2025-02-02
1295,A,Confirmamos el acuerdo de niveles de servicio (SLA),2024-10-14
1296,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2024-01-06
1297,A,Aprobamos la integración con nuestros sistemas sin modificaciones adicionales,2025-01-02
1298,A,Validamos la propuesta y solicitamos la firma del contrato,2024-04-16
1299,R,Rechazamos la inclusión del módulo adicional sugerido,2024-01-24
1300,A,Aceptamos los plazos y entregables establecidos en la propuesta,2024-02-21
1301,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2024-11-27
1302,A,Aprobamos el alcance del proyecto tal como está definido,2024-04-06
1303,R,Rechazamos la inclusión del módulo adicional sugerido,2024-08-08
1304,R,Rechazamos la propuesta por no cumplir con nuestros requisitos de seguridad,2024-05-07
1305,R,Rechazamos los tiempos de implementación como inviables,2024-03-22
1306,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-06-15
1307,R,Cancelamos el proyecto por reestructuración organizacional,2024-02-27
1308,R,Descartamos la propuesta ante cambios en regulaciones del sector,2025-02-18
1309,R,No estamos de acuerdo con los términos comerciales presentados,2024-04-23
1310,A,Estamos de acuerdo con el plan de implementación y damos luz verde para iniciar,2024-10-13
1311,R,No aprobamos el contrato debido a cláusulas contractuales no negociables,2024-12-26
1312,A,Aceptamos la propuesta en su totalidad sin cambios,2024-07-31
1313,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2025-01-04
1314,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2025-01-02
1315,R,Declinamos por preferir una solución en la nube alternativa,2024-06-14
1316,R,No aceptamos por incompatibilidad con nuestra infraestructura actual,2024-03-31
1317,R,Cancelamos el proyecto por reestructuración organizacional,2024-09-30
1318,A,Aceptamos los términos del servicio de mantenimiento,2024-07-27
1319,A,Autorizamos el inicio del proyecto según lo planificado,2024-05-16
1320,R,Rechazamos el modelo de negocio propuesto,2024-10-22
1321,A,Aprobamos la integración con nuestros sistemas sin modificaciones adicionales,2024-02-27
1322,R,No continuamos con el proyecto debido a cambios en nuestra estructura interna,2024-07-02
1323,R,Rechazamos la solución por falta de soporte técnico local,2025-01-29
1324,R,Cancelamos el proyecto por reestructuración organizacional,2024-04-03
1325,R,No continuamos con el proyecto debido a cambios en nuestra estructura interna,2024-02-10
1326,A,Confirmamos nuestra satisfacción con la propuesta técnica,2024-07-15
1327,A,Validamos los criterios de aceptación de pruebas,2025-01-21
1328,A,Confirmamos nuestra satisfacción con la propuesta técnica,2024-07-17
1329,R,No aceptamos las licencias propuestas por costos ocultos,2025-02-27
1330,R,No aprobamos el contrato debido a cláusulas contractuales no negociables,2025-02-05
1331,R,No estamos de acuerdo con los términos comerciales presentados,2024-10-14
1332,R,No aceptamos las licencias propuestas por costos ocultos,2024-02-28
1333,R,Desestimamos la oferta por incumplir normativas internas,2024-12-25
1334,A,Aceptamos los términos del servicio de mantenimiento,2024-02-10
1335,R,Descartamos la propuesta ante cambios en regulaciones del sector,2025-02-02
1336,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-04-25
1337,R,Rechazamos la solución por falta de soporte técnico local,2024-01-23
1338,R,Rechazamos la propuesta por incompatibilidad con nuestros sistemas actuales,2024-03-20
1339,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2025-01-25
1340,A,Aprobamos la arquitectura tecnológica sugerida,2024-02-01
1341,R,Rechazamos la ampliación de servicios por falta de presupuesto,2025-04-18
1342,R,Rechazamos la ampliación de servicios por falta de presupuesto,2024-02-01
1343,R,Rechazamos los tiempos de implementación como inviables,2024-03-18
1344,A,Aceptamos la solución propuesta y autorizamos el inicio inmediato,2024-07-25
1345,A,Aprobamos el alcance del proyecto tal como está definido,2024-09-25
1346,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2024-07-24
1347,R,No procedemos con el proyecto por cambios en nuestras prioridades estratégicas,2024-04-24
1348,R,Rechazamos la ampliación de servicios por falta de presupuesto,2024-03-07
1349,A,Damos el visto bueno al cronograma presentado y confirmamos el pago inicial,2025-04-07
1350,A,Validamos los criterios de aceptación de pruebas,2024-12-10
1351,A,Aceptamos la implementación piloto bajo los términos acordados,2024-06-24
1352,A,Aprobamos el alcance del proyecto tal como está definido,2024-11-30
1353,A,Aprobamos el alcance del proyecto tal como está definido,2024-09-19
1354,A,Aceptamos los plazos y entregables establecidos en la propuesta,2025-01-03
1355,R,Descartamos la propuesta ante cambios en regulaciones del sector,2024-04-12
1356,R,Declinamos la oferta por considerar excesivos los costos de implementación,2024-05-05
1357,A,Aceptamos la implementación piloto bajo los términos acordados,2024-03-22
1358,A,Aprobamos el presupuesto completo sin objeciones,2024-02-21
1359,A,Confirmamos nuestra aceptación a las condiciones técnicas propuestas,2024-02-20
1360,A,Autorizamos el inicio del proyecto según lo planificado,2024-01-08
1361,A,Validamos los requisitos funcionales presentados,2024-02-14
1362,R,No aprobamos el contrato debido a cláusulas contractuales no negociables,2025-03-22
1363,R,Declinamos la oferta por considerar excesivos los costos de implementación,2025-04-04
1364,R,No aceptamos las licencias propuestas por costos ocultos,2024-10-24
1365,A,Aceptamos la solución propuesta y autorizamos el inicio inmediato,2024-07-01
1366,R,Cancelamos el proyecto por reestructuración organizacional,2024-10-13
1367,A,Validamos la propuesta y solicitamos la firma del contrato,2024-06-20
1368,A,Estamos de acuerdo con el plan de implementación y damos luz verde para iniciar,2024-08-21
1369,R,Rechazamos la inclusión del módulo adicional sugerido,2025-03-17
1370,A,Confirmamos nuestra satisfacción con la propuesta técnica,2024-07-23
1371,R,Rechazamos la propuesta por no cumplir con nuestros requisitos de seguridad,2025-01-03
1372,A,Autorizamos el inicio del proyecto según lo planificado,2024-10-12
1373,R,Rechazamos la inclusión del módulo adicional sugerido,2024-06-15
1374,A,Aprobamos la integración con nuestros sistemas sin modificaciones adicionales,2024-07-14
1375,R,Cancelamos el proyecto por reestructuración organizacional,2024-05-18
1376,A,Aceptamos la implementación piloto bajo los términos acordados,2024-10-14
1377,A,Aprobamos la integración con nuestros sistemas sin modificaciones adicionales,2025-03-17
1378,R,No procedemos por falta de alineación con nuestra roadmap tecnológico,2024-05-23
1379,R,Declinamos por preferir una solución en la nube alternativa,2025-01-10
1380,A,Aceptamos la implementación piloto bajo los términos acordados,2024-03-20
1381,A,Aprobamos el alcance del proyecto tal como está definido,2025-04-04
1382,R,Cancelamos el proyecto por reestructuración organizacional,2024-06-04
1383,A,Aceptamos la modalidad de pago propuesta sin modificaciones,2024-06-17
